logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:50:56,671Z", "level": "INFO", "component": "o.e.x.c.t.IndexTemplateRegistry", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "adding index template [.ml-notifications-000001] for [ml], because it doesn't exist", "cluster.uuid": "7yR7h5R0T-2LiZO98j-U1w", "node.id": "INzE_ZB3RAelqlA60KOTrg"  }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:50:56,721Z", "level": "INFO", "component": "o.e.x.c.t.IndexTemplateRegistry", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "adding index template [.ml-stats] for [ml], because it doesn't exist", "cluster.uuid": "7yR7h5R0T-2LiZO98j-U1w", "node.id": "INzE_ZB3RAelqlA60KOTrg"  }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:50:57,192Z", "level": "INFO", "component": "o.e.x.c.t.IndexTemplateRegistry", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "adding index template [ilm-history] for [index_lifecycle], because it doesn't exist", "cluster.uuid": "7yR7h5R0T-2LiZO98j-U1w", "node.id": "INzE_ZB3RAelqlA60KOTrg"  }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:50:57,315Z", "level": "INFO", "component": "o.e.x.c.t.IndexTemplateRegistry", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "adding index template [.slm-history] for [index_lifecycle], because it doesn't exist", "cluster.uuid": "7yR7h5R0T-2LiZO98j-U1w", "node.id": "INzE_ZB3RAelqlA60KOTrg"  }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:50:58,302Z", "level": "INFO", "component": "o.e.g.GatewayService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "recovered [0] indices into cluster_state", "cluster.uuid": "7yR7h5R0T-2LiZO98j-U1w", "node.id": "INzE_ZB3RAelqlA60KOTrg"  }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:51:01,297Z", "level": "INFO", "component": "o.e.c.m.MetadataIndexTemplateService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "adding template [.watches] for index patterns [.watches*]", "cluster.uuid": "7yR7h5R0T-2LiZO98j-U1w", "node.id": "INzE_ZB3RAelqlA60KOTrg"  }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:51:02,342Z", "level": "INFO", "component": "o.e.c.m.MetadataIndexTemplateService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "adding template [.watch-history-11] for index patterns [.watcher-history-11*]", "cluster.uuid": "7yR7h5R0T-2LiZO98j-U1w", "node.id": "INzE_ZB3RAelqlA60KOTrg"  }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:51:02,666Z", "level": "INFO", "component": "o.e.c.m.MetadataIndexTemplateService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "adding template [.triggered_watches] for index patterns [.triggered_watches*]", "cluster.uuid": "7yR7h5R0T-2LiZO98j-U1w", "node.id": "INzE_ZB3RAelqlA60KOTrg"  }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:51:03,130Z", "level": "INFO", "component": "o.e.c.m.MetadataIndexTemplateService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "adding template [.ml-state] for index patterns [.ml-state*]", "cluster.uuid": "7yR7h5R0T-2LiZO98j-U1w", "node.id": "INzE_ZB3RAelqlA60KOTrg"  }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:51:03,515Z", "level": "INFO", "component": "o.e.c.m.MetadataIndexTemplateService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "adding template [.ml-inference-000002] for index patterns [.ml-inference-000002]", "cluster.uuid": "7yR7h5R0T-2LiZO98j-U1w", "node.id": "INzE_ZB3RAelqlA60KOTrg"  }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:51:03,969Z", "level": "INFO", "component": "o.e.c.m.MetadataIndexTemplateService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "adding template [.ml-config] for index patterns [.ml-config]", "cluster.uuid": "7yR7h5R0T-2LiZO98j-U1w", "node.id": "INzE_ZB3RAelqlA60KOTrg"  }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:51:04,741Z", "level": "INFO", "component": "o.e.c.m.MetadataIndexTemplateService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "adding template [.ml-anomalies-] for index patterns [.ml-anomalies-*]", "cluster.uuid": "7yR7h5R0T-2LiZO98j-U1w", "node.id": "INzE_ZB3RAelqlA60KOTrg"  }
